Al,Cu,Mg,Si,Zn,Zr,Mn,Ag,Li,Ca,Fe,Ti,Sn,Cr,Ge,Sc,Crack Susceptibility Level,Observations
0.899557387,0.0117,0.0255,0.003056938,0.052,0.001927662,0.001766824,0.00014626,0.000163894,7.34E-05,0.002093628,0.000376561,0.000492519,0.0009,0.000186956,5.79E-05,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.891084476,0.0255,0.0234,0.003369658,0.0517,0.000315068,0.000978651,0.000150722,0.000195164,0.000160693,0.001225502,0.000822723,0.000202612,0.0006,0.000135818,0.000158913,Medium,Cr enhances grain boundary strength and reduces cracking.
0.887358537,0.0157,0.028,0.001185802,0.0575,0.001996295,0.001743373,0.000144842,0.000115961,0.000104071,0.00445889,0.000585245,0.00036167,0.0006,7.71E-05,6.82E-05,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.881644662,0.0191,0.0244,0.003430179,0.0639,0.001450596,0.000555511,7.98E-05,9.18E-05,0.000150691,0.004251604,0.000380177,0.000179239,0.0002,9.03E-05,9.54E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.87705804,0.0295,0.0298,0.001682096,0.0516,0.001708398,0.001394405,0.00011275,0.000169744,9.06E-05,0.004998871,0.0006493,0.000326132,0.0007,7.98E-05,0.000129871,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.896431817,0.0109,0.0154,0.001260206,0.0673,0.000800853,0.000845013,0.000162641,9.89E-05,6.22E-05,0.004986547,0.000744536,0.000285573,0.0005,8.70E-05,0.000134662,Medium,High Zn can contribute to segregation but strengthens alloy.
0.86534833,0.0263,0.03,0.004795542,0.0673,0.000324336,0.00068085,6.52E-05,9.49E-05,0.000198887,0.003221727,0.000345362,0.000488802,0.0006,9.60E-05,0.000140087,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.893017917,0.0123,0.0251,0.004862528,0.0572,0.001554378,0.00061543,9.17E-05,8.49E-05,7.34E-05,0.00407595,0.000472194,0.000343411,0,0.00013327,7.49E-05,Medium,"Mg helps refine grains, reducing cracking tendency."
0.903871046,0.0127,0.0152,0.004233589,0.0543,0.001718046,0.001544433,9.14E-05,6.95E-05,0.000198263,0.004779063,0.000209697,0.000239803,0.0006,0.000138199,0.000106961,Medium,Cr enhances grain boundary strength and reduces cracking.
0.882349242,0.0198,0.0189,0.002218455,0.0685,0.001558809,0.001009812,0.000114803,8.85E-05,0.000196592,0.00439859,0.000263034,0.000145638,0.0002,0.000113975,0.000142579,Medium,High Zn can contribute to segregation but strengthens alloy.
0.885409207,0.0279,0.0221,0.001390688,0.0569,0.000542845,0.00158715,0.000197055,0.000103298,0.000169073,0.001989392,0.000713006,0.000160499,0.0005,0.000142313,0.000195473,Medium,Balanced composition with moderate crack susceptibility.
0.888447089,0.0108,0.027,0.003736932,0.0638,0.001580827,0.000598035,6.01E-05,0.000151099,0.000148913,0.002802177,0.000263295,0.000190127,0.0002,6.22E-05,0.000159145,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.888694195,0.0193,0.0262,0.00276061,0.0574,0.001607169,0.000972936,0.000127805,5.94E-05,0.000136671,0.001516638,0.000572647,0.000200387,0.0002,6.32E-05,0.000188391,Medium,"Mg helps refine grains, reducing cracking tendency."
0.898009997,0.0142,0.0199,0.001488153,0.0564,0.001419519,0.001309237,7.69E-05,8.16E-05,0.000179915,0.004816204,0.000738142,0.000440246,0.0007,7.58E-05,0.000164332,Medium,Cr enhances grain boundary strength and reduces cracking.
0.884958594,0.0229,0.0236,0.002980708,0.0573,0.001602397,0.001686085,0.000195601,0.000171354,9.34E-05,0.003424699,0.000196189,0.000324489,0.0003,0.000127712,0.000138758,Medium,Balanced composition with moderate crack susceptibility.
0.883891653,0.0182,0.0297,0.001137554,0.0605,0.001738066,0.000978129,6.70E-05,7.20E-05,0.000120152,0.001914571,0.000610581,0.000309356,0.0006,8.21E-05,7.88E-05,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.896119797,0.0165,0.0214,0.004637282,0.0537,0.001343127,0.001438837,0.00011054,0.000101397,0.000142908,0.003686803,0.000330907,0.000145908,0.0001,9.25E-05,0.000150003,Medium,Balanced composition with moderate crack susceptibility.
0.875796468,0.0164,0.0271,0.00203512,0.0698,0.000450628,0.001828967,0.000160683,0.000179699,0.000111679,0.003472513,0.000966634,0.000444056,0.001,0.000110047,0.000143507,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.898284986,0.0113,0.0261,0.003650089,0.0536,0.001128967,0.001423795,0.000155683,7.32E-05,0.000114123,0.002432651,0.000535191,0.000389126,0.0005,0.00017178,0.00014037,Medium,"Mg helps refine grains, reducing cracking tendency."
0.887214112,0.0188,0.0207,0.002246844,0.0663,0.000432004,0.000849439,0.000113409,6.24E-05,9.95E-05,0.00145423,0.000825393,0.000127067,0.0006,5.21E-05,0.000123468,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.893089673,0.0128,0.0269,0.003080272,0.0567,0.000992823,0.000536601,0.000101979,0.000122681,0.000134635,0.003686293,0.000595204,0.000383134,0.0006,0.000147407,0.000129298,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.883045123,0.0122,0.0277,0.003186841,0.0664,0.000992081,0.001805148,0.000109642,9.54E-05,0.000177586,0.003081231,0.000139071,0.000317415,0.0005,0.000150331,0.000100166,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.880322584,0.0217,0.021,0.001739418,0.0682,0.000412217,0.000531904,8.96E-05,0.000134511,8.02E-05,0.004089274,0.000669836,0.00013269,0.0006,0.000169798,0.000127897,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.887785295,0.0215,0.0241,0.004878339,0.0531,0.000892995,0.001812053,8.08E-05,0.000170571,0.000190165,0.003080654,0.000956263,0.00028332,0.0009,0.000189913,7.96E-05,Medium,Cr enhances grain boundary strength and reduces cracking.
0.898603123,0.0111,0.02,0.004100531,0.058,0.000488697,0.001293406,0.000122456,7.06E-05,0.000153363,0.004408726,0.000641451,0.000293879,0.0005,5.30E-05,0.000170776,Medium,Balanced composition with moderate crack susceptibility.
0.891696386,0.02,0.0213,0.004757996,0.0535,0.001674,0.001908602,9.03E-05,0.000137105,0.000173491,0.003207627,0.00083727,0.00016631,0.0004,7.31E-05,7.79E-05,Medium,Balanced composition with moderate crack susceptibility.
0.886695584,0.0113,0.0262,0.004579309,0.0619,0.00191107,0.001698175,9.31E-05,0.000125826,0.000133429,0.003243752,0.000895786,0.000478279,0.0005,0.000182926,6.27E-05,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.895615417,0.0131,0.0177,0.0033916,0.0612,0.000422938,0.001996901,0.000148513,7.16E-05,0.000166928,0.004506614,0.000305272,0.00043999,0.0007,0.000118778,0.000115437,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.897615614,0.0104,0.0166,0.004687497,0.0634,0.001923696,0.001026068,0.000195281,0.0001436,5.24E-05,0.002613931,0.00029084,0.000367609,0.0004,0.000134689,0.000148746,Medium,High Zn can contribute to segregation but strengthens alloy.
0.897766545,0.0103,0.0163,0.00135397,0.0679,0.00118838,0.001650782,0.000140546,9.10E-05,0.000172757,0.001536061,0.000649883,0.000284918,0.0004,0.000149454,0.000115658,Medium,High Zn can contribute to segregation but strengthens alloy.
0.893270032,0.021,0.0215,0.001783931,0.0582,0.000809262,0.001102896,6.15E-05,0.000123175,5.60E-05,0.001115131,0.000469926,0.000264706,0,0.00015186,9.15E-05,Medium,Balanced composition with moderate crack susceptibility.
0.895201146,0.0128,0.0275,0.001180909,0.0552,0.000430666,0.001219813,6.13E-05,6.23E-05,0.000183487,0.004020549,0.000855875,0.000360389,0.0006,0.000189761,0.000133726,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.898184889,0.0127,0.0285,0.002301321,0.0502,0.001151061,0.001441258,0.000192713,0.000118938,0.000198794,0.003481238,0.000910021,0.000318173,0,0.000199542,0.00010205,Medium,"Mg helps refine grains, reducing cracking tendency."
0.890992164,0.0149,0.0208,0.002554709,0.0621,0.001650676,0.001810516,9.46E-05,9.60E-05,9.41E-05,0.003816319,0.000418079,0.000124909,0.0002,0.000158024,0.00018993,Medium,High Zn can contribute to segregation but strengthens alloy.
0.895666195,0.0199,0.024,0.002085396,0.051,0.001502047,0.001976125,6.38E-05,0.000173357,8.15E-05,0.001851857,0.000313184,0.000305001,0.0008,9.31E-05,0.000188397,Medium,Cr enhances grain boundary strength and reduces cracking.
0.894106209,0.0172,0.0164,0.00431495,0.0618,0.000385384,0.00165241,0.000139857,5.85E-05,0.000164805,0.001545486,0.000802473,0.000422561,0.0007,0.000181963,0.000125356,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.889532345,0.0144,0.0298,0.002427013,0.0598,0.000423933,0.00112665,0.000143547,0.000112791,8.80E-05,0.001058179,0.000347325,0.000283696,0.0003,5.74E-05,9.92E-05,Medium,"Mg helps refine grains, reducing cracking tendency."
0.876604749,0.0272,0.0277,0.002123738,0.0595,0.000984885,0.001132036,0.000147276,0.000118765,0.000179834,0.00240235,0.000840353,0.000120783,0.0007,8.47E-05,0.00016057,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8822109,0.0164,0.0244,0.003170784,0.0658,0.000801994,0.001606373,9.01E-05,0.000158751,6.54E-05,0.003359671,0.000481364,0.000414511,0.0008,0.000184608,5.55E-05,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.89066582,0.0196,0.0244,0.001563697,0.058,0.000695053,0.000858166,5.23E-05,0.000136143,6.89E-05,0.002568976,0.000700795,0.000180546,0.0003,8.84E-05,0.000121215,Medium,Balanced composition with moderate crack susceptibility.
0.88838321,0.0298,0.0214,0.004208788,0.0504,0.000777708,0.000665711,0.000194752,0.000150082,0.000196873,0.0027499,0.000185982,0.000203448,0.0005,8.31E-05,0.000100449,Medium,Balanced composition with moderate crack susceptibility.
0.880695886,0.0289,0.0247,0.001298203,0.0546,0.001665921,0.001031933,8.76E-05,0.000166557,0.000151076,0.004616635,0.000661473,0.000165883,0.001,7.07E-05,0.00018808,Medium,Cr enhances grain boundary strength and reduces cracking.
0.889671773,0.0179,0.0264,0.004947548,0.0535,0.001879688,0.000930858,0.000151404,0.00017933,0.000177033,0.002393022,0.000506591,0.000232086,0.0009,0.000178867,5.18E-05,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.865681622,0.0272,0.0271,0.004088979,0.0691,0.000988675,0.000944462,0.000155994,9.71E-05,9.86E-05,0.003055958,0.000627948,0.000402701,0.0002,0.000125009,0.000132922,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.885784747,0.0196,0.0239,0.001794863,0.0599,0.001840389,0.000850412,0.000141501,0.000130703,0.000151473,0.004134612,0.000251213,0.000307754,0.0009,0.000151234,0.0001611,Medium,Cr enhances grain boundary strength and reduces cracking.
0.880316218,0.0224,0.0263,0.001022088,0.0636,0.000846543,0.00056314,9.69E-05,0.000176016,0.000139136,0.002586171,0.000763186,0.000181953,0.0008,8.59E-05,0.000122753,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.880629333,0.0223,0.0297,0.004261846,0.0557,0.001109943,0.000526811,9.07E-05,0.000198418,0.000140473,0.003488347,0.000876517,0.000451132,0.0003,0.000163706,6.28E-05,Medium,"Mg helps refine grains, reducing cracking tendency."
0.877975056,0.0238,0.016,0.003827429,0.0687,0.000684249,0.001981584,0.00013965,0.000183428,0.00015238,0.004449455,0.000295066,0.000451833,0.001,0.000164001,0.000195869,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.905874516,0.0104,0.0199,0.003916029,0.0505,0.001388809,0.00114166,0.000179914,0.00010572,0.000136304,0.004798082,0.000186143,0.000448231,0.0008,9.69E-05,0.000127702,Medium,Cr enhances grain boundary strength and reduces cracking.
0.884129699,0.0231,0.0191,0.004085081,0.0636,0.001964268,0.00107649,0.00019201,7.93E-05,0.000114359,0.001588294,0.000121275,0.000195518,0.0004,0.000111602,0.000142128,Medium,High Zn can contribute to segregation but strengthens alloy.
0.895046163,0.023,0.0205,0.001296179,0.0506,0.001325938,0.001519471,6.59E-05,0.000123409,9.14E-05,0.004706351,0.000677774,0.000280496,0.0006,8.15E-05,8.55E-05,Medium,Cr enhances grain boundary strength and reduces cracking.
0.87980286,0.0259,0.0222,0.002433863,0.0623,0.000908284,0.000827381,7.32E-05,0.000161246,0.000165287,0.002968465,0.000646385,0.000493996,0.0008,0.000196484,0.000122525,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.899115733,0.0178,0.0222,0.001463476,0.0514,0.00140129,0.001924942,0.00019171,0.000123885,8.39E-05,0.002032978,0.000592028,0.000408805,0.001,0.00014684,0.000114372,Medium,Cr enhances grain boundary strength and reduces cracking.
0.888414715,0.0212,0.0151,0.004452414,0.064,0.000508965,0.001679518,0.00016048,0.000122477,0.000153853,0.002836543,0.000308752,0.000110867,0.0007,0.000190182,6.12E-05,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.886759328,0.0227,0.0256,0.003493193,0.0521,0.00181072,0.000634117,0.000182449,0.000175735,8.50E-05,0.00492013,0.000451815,0.000126082,0.0008,9.55E-05,6.59E-05,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.880532411,0.019,0.0247,0.002323592,0.0663,0.001155243,0.001126371,8.04E-05,0.000104211,0.0001438,0.002970472,0.000635029,0.000285573,0.0003,0.000167284,0.000175621,Medium,High Zn can contribute to segregation but strengthens alloy.
0.884407389,0.0211,0.0258,0.001254233,0.06,0.001063895,0.001818677,0.000138138,0.000178969,0.000162062,0.002315006,0.00054709,0.000463688,0.0005,0.000164879,8.60E-05,Medium,"Mg helps refine grains, reducing cracking tendency."
0.892722921,0.0169,0.0206,0.002243929,0.0585,0.00129597,0.001917098,0.000155171,0.000111021,8.28E-05,0.003533603,0.000989007,0.000315481,0.0004,0.000153748,7.92E-05,Medium,Balanced composition with moderate crack susceptibility.
0.890322703,0.0225,0.0245,0.002300733,0.0542,0.001362133,0.001201102,0.000152017,9.92E-05,5.90E-05,0.001960582,0.000222796,0.000299125,0.0005,0.000194846,0.000125737,Medium,Balanced composition with moderate crack susceptibility.
0.889594854,0.0172,0.0239,0.003918425,0.0603,0.000422019,0.001420117,0.000111223,0.000118098,6.96E-05,0.001303453,0.00072563,0.000142189,0.0005,0.000109033,0.000165312,Medium,High Zn can contribute to segregation but strengthens alloy.
0.886410177,0.0167,0.0274,0.00355023,0.0604,0.001460449,0.000750551,5.23E-05,0.000164367,0.0001409,0.001515519,0.000463887,0.000362712,0.0005,6.96E-05,5.93E-05,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.890955674,0.0141,0.0167,0.004548851,0.0674,0.000711284,0.001986753,0.000137439,6.89E-05,0.000177417,0.001512183,0.00048538,0.000428841,0.0005,0.000150756,0.000136521,Medium,High Zn can contribute to segregation but strengthens alloy.
0.882292841,0.0101,0.0293,0.00288886,0.0693,0.001513719,0.000847508,8.80E-05,7.95E-05,5.67E-05,0.001607611,0.000745838,0.000252168,0.0007,0.000159396,6.79E-05,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.893858364,0.0235,0.0217,0.001478377,0.0519,0.001698309,0.001914098,0.000117538,0.000192717,0.000160123,0.001555309,0.000723193,0.000410245,0.0006,0.000136259,5.55E-05,Medium,Cr enhances grain boundary strength and reduces cracking.
0.883954308,0.0143,0.0249,0.003852979,0.0635,0.001666729,0.00147447,0.000193637,7.63E-05,0.000101198,0.003563499,0.00099213,0.000485791,0.0008,8.10E-05,5.79E-05,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.890513835,0.0165,0.025,0.00404314,0.0581,0.001239252,0.001411605,0.000109855,0.000135159,0.000121779,0.00172752,0.000215555,0.000181507,0.0004,0.000125668,0.000175125,Medium,Balanced composition with moderate crack susceptibility.
0.895849149,0.0148,0.0206,0.003245109,0.059,0.001184289,0.001269033,0.00017597,0.000136897,0.000189329,0.002382669,0.000193699,0.000309332,0.0005,9.68E-05,6.77E-05,Medium,Balanced composition with moderate crack susceptibility.
0.885000911,0.0216,0.023,0.004083869,0.058,0.000542889,0.000846005,7.83E-05,0.000123444,9.98E-05,0.004587154,0.000751905,0.000214855,0.0009,0.00011412,5.68E-05,Medium,Cr enhances grain boundary strength and reduces cracking.
0.887528551,0.017,0.0165,0.002975182,0.0687,0.001618088,0.000764792,0.000150869,0.000146712,0.000119801,0.002895847,0.000620548,0.000417142,0.0003,0.000146783,0.000115685,Medium,High Zn can contribute to segregation but strengthens alloy.
0.889597472,0.0136,0.0229,0.003090931,0.0636,0.000761396,0.000830729,0.000196551,8.45E-05,5.21E-05,0.003670231,0.000346745,0.000331037,0.0006,0.000161782,0.000176599,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.891816588,0.0146,0.0182,0.002710164,0.0677,0.001144382,0.000779657,6.53E-05,0.000132899,6.22E-05,0.001689279,0.000171477,0.000353833,0.0004,8.48E-05,8.94E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.895010348,0.0217,0.0175,0.001101677,0.059,0.000783266,0.001669377,5.12E-05,0.000105826,8.88E-05,0.001769156,0.000177092,0.000419166,0.0004,0.000110799,0.000113257,Medium,Balanced composition with moderate crack susceptibility.
0.896424276,0.0239,0.0211,0.001431566,0.0527,0.000527508,0.001025188,0.000115037,0.00014925,5.42E-05,0.001163474,0.000904772,0.000258388,0.0001,9.04E-05,5.60E-05,Medium,Balanced composition with moderate crack susceptibility.
0.902425874,0.0145,0.0203,0.001125717,0.0565,0.001370248,0.000586764,6.39E-05,7.12E-05,0.000144706,0.00167574,0.000272681,0.000466036,0.0003,7.98E-05,0.000117362,Medium,Balanced composition with moderate crack susceptibility.
0.879673734,0.0212,0.026,0.003545642,0.0632,0.000392364,0.001953654,0.000162258,0.000135632,0.00011396,0.002114361,0.000391034,0.000313212,0.0005,0.000167508,0.000136642,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.877749767,0.0285,0.0185,0.002257424,0.0659,0.001572697,0.001825679,0.000187182,7.78E-05,0.000132222,0.001708042,0.000303991,0.000163182,0.0008,0.000186388,0.000135636,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.896693029,0.0107,0.0195,0.003034283,0.0642,0.000839898,0.001891628,0.000115103,9.18E-05,7.62E-05,0.00135481,0.000419497,0.00037836,0.0005,0.000105535,9.99E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.879888789,0.0142,0.029,0.004630266,0.067,0.000300229,0.001992362,8.88E-05,8.28E-05,9.44E-05,0.001482543,0.000162481,0.000417305,0.0004,0.000162692,9.73E-05,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.872143392,0.0228,0.0273,0.001997169,0.0695,0.00116892,0.000760843,0.00011516,7.74E-05,0.000149574,0.002843115,0.000567154,0.000226705,0.0001,0.000184549,6.60E-05,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.886746292,0.0293,0.0232,0.002641532,0.0527,0.000379648,0.001094363,0.000158517,0.000173857,0.000194795,0.001825335,0.000160851,0.000442872,0.0007,0.000176919,0.00010502,Medium,Cr enhances grain boundary strength and reduces cracking.
0.889086969,0.0112,0.0299,0.004022205,0.0592,0.000769488,0.001637358,5.14E-05,9.29E-05,5.76E-05,0.002457079,0.000820321,0.000462457,0.0001,7.74E-05,6.49E-05,Medium,"Mg helps refine grains, reducing cracking tendency."
